model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
qwen3-4b-opd,singlev_layers10-25_lr5e-5,17,400,0.43915697932243347,0.9999990463256836,0.9999690663844422,0.437364786863327,0.574831877136603,0.760856877043706,0.5375
qwen3-4b-opd,singlev_layers10-25_lr5e-5,18,400,0.44514399766921997,0.999998927116394,0.999968655575487,0.4432606101036072,0.5721350457752123,0.7747482231280078,0.515
qwen3-4b-opd,singlev_layers10-25_lr5e-5,19,400,0.4464877247810364,0.9999988079071045,0.9999623185112363,0.44469115138053894,0.588126310321968,0.7561150446357247,0.5525
qwen3-4b-opd,singlev_layers10-25_lr5e-5,20,400,0.43691959977149963,0.9999987483024597,0.9999674171732184,0.43513578176498413,0.5832683587213978,0.7460301510592138,0.56
qwen3-4b-opd,singlev_layers10-25_lr5e-5,21,400,0.44455626606941223,0.9999988675117493,0.9999684582378033,0.44271573424339294,0.586187893350143,0.7552454413775296,0.54
qwen3-4b-opd,singlev_layers10-25_lr5e-5,22,400,0.43904438614845276,0.9999989867210388,0.9999697156119765,0.43714943528175354,0.5667190005187877,0.771368941012348,0.5225
qwen3-4b-opd,singlev_layers10-25_lr5e-5,23,400,0.4521271586418152,0.9999989867210388,0.9999678535270213,0.4501967132091522,0.5746063931728713,0.783487128855717,0.5
qwen3-4b-opd,singlev_layers10-25_lr5e-5,24,400,0.4418656527996063,0.9999988079071045,0.9999644805614213,0.44008806347846985,0.569099232670851,0.7733063729730995,0.5525
qwen3-4b-opd,singlev_layers10-25_lr5e-5,25,400,0.458773136138916,0.9999988675117493,0.999959581627284,0.4569489657878876,0.5845943797612563,0.781651315181138,0.5525
qwen3-4b-opd,singlev_layers12-23_lr1e-3,12,110,1.0479600429534912,0.9999845623970032,0.99970492911995,1.0225892066955566,1.7184043126180768,0.595080679899825,0.5727272727272728
qwen3-4b-opd,singlev_layers12-23_lr1e-3,13,110,0.9481713175773621,0.9999853372573853,0.9997160221458575,0.9231458902359009,1.6621912028640509,0.5553788809887018,0.5727272727272728
qwen3-4b-opd,singlev_layers12-23_lr1e-3,14,110,0.8525129556655884,0.9999819993972778,0.9996953087115507,0.8276815414428711,1.6176425064913929,0.5116591200598962,0.5909090909090909
qwen3-4b-opd,singlev_layers12-23_lr1e-3,15,110,0.8593848943710327,0.9999825358390808,0.9997355670010278,0.8332977294921875,1.6220978614874184,0.5137160644106126,0.6
qwen3-4b-opd,singlev_layers12-23_lr1e-3,16,110,0.823467493057251,0.9999866485595703,0.9997519429670562,0.7959964871406555,1.523005268536508,0.5226485446800505,0.5363636363636364
qwen3-4b-opd,singlev_layers12-23_lr1e-3,17,110,0.7578622102737427,0.9999833106994629,0.9997448379840326,0.7297264933586121,1.5239298436790705,0.47884520169045763,0.5636363636363636
qwen3-4b-opd,singlev_layers12-23_lr1e-3,18,110,0.7865622639656067,0.9999865293502808,0.999762914049516,0.7570865154266357,1.5038990722969174,0.5034157739523911,0.5272727272727272
qwen3-4b-opd,singlev_layers12-23_lr1e-3,19,110,0.7700379490852356,0.9999828338623047,0.9997151625265769,0.7443820834159851,1.5774094788357615,0.47190161679856973,0.5727272727272728
qwen3-4b-opd,singlev_layers12-23_lr1e-3,20,110,0.7849298119544983,0.999984622001648,0.9997230177625603,0.7598074078559875,1.5677195037715137,0.48465775033613745,0.5545454545454546
qwen3-4b-opd,singlev_layers12-23_lr1e-3,21,110,0.8227803707122803,0.9999860525131226,0.9997187404457583,0.7960045337677002,1.5640926458872855,0.5089241585917305,0.5454545454545454
qwen3-4b-opd,singlev_layers12-23_lr1e-3,22,110,0.8894293308258057,0.9999845027923584,0.999745659325101,0.8626469969749451,1.611107420641929,0.535437293579861,0.5636363636363636
qwen3-4b-opd,singlev_layers12-23_lr1e-3,23,110,0.9862253069877625,0.9999825358390808,0.9997412846722734,0.961463212966919,1.6767386798746884,0.5734126757538475,0.5818181818181818
qwen3-4b-opd,singlev_layers15-16_lr1e-3,15,75,2.1003153324127197,0.9999592900276184,0.9998401612848848,2.064012289047241,2.6390902511775494,0.7820923472118049,0.5866666666666667
qwen3-4b-opd,singlev_layers15-16_lr1e-3,16,75,2.129427433013916,0.9999666810035706,0.999841911567224,2.093207597732544,2.6177343372255564,0.799625679338821,0.56
qwen3-4b-opd,singlev_layers20-21_lr1e-3,20,32,1.49357008934021,0.9999457597732544,0.999734144056997,1.4466556310653687,1.476824663579464,0.9795716896811753,0.09375
qwen3-4b-opd,singlev_layers20-21_lr1e-3,21,32,1.4883041381835938,0.9999414086341858,0.9998174848095063,1.441303014755249,1.4753274284303188,0.9769377203870803,0.125
qwen3-4b-opd,singlev_layers24-25_lr1e-3,24,24,1.164924144744873,0.9999807476997375,0.9997775865637738,1.1156785488128662,1.120451394468546,0.9957402474759348,0.0
qwen3-4b-opd,singlev_layers24-25_lr1e-3,25,24,1.1640006303787231,0.9999797344207764,0.9997581347175266,1.115026831626892,1.1200080215930939,0.995552540812059,0.0
qwen3-4b-opd,singlev_layers24-25_lr6e-3,24,255,17.923343658447266,0.9999979734420776,0.9999397763117092,17.790756225585938,26.446644887328148,0.6727037135100014,0.5215686274509804
qwen3-4b-opd,singlev_layers24-25_lr6e-3,25,255,15.911577224731445,0.9999962449073792,0.9999336100469424,15.790406227111816,26.47006844729185,0.5965381713520779,0.596078431372549
qwen3-4b-opd,singlev_layers24-35_lr1e-3,24,110,3.7502968311309814,0.9999890327453613,0.9998435985057725,3.714115858078003,4.106799179688096,0.9043821466722128,0.4818181818181818
qwen3-4b-opd,singlev_layers24-35_lr1e-3,25,110,3.6912429332733154,0.9999878406524658,0.9998337692077007,3.6554644107818604,4.066530590876937,0.8989147699964969,0.4818181818181818
qwen3-4b-opd,singlev_layers24-35_lr1e-3,26,110,3.591688871383667,0.9999872446060181,0.999820769379992,3.556903839111328,3.999445153400302,0.8893493228897693,0.5
qwen3-4b-opd,singlev_layers24-35_lr1e-3,27,110,3.4796245098114014,0.9999869465827942,0.9998497437993321,3.445136308670044,3.9001128263771534,0.8833427293102849,0.4909090909090909
qwen3-4b-opd,singlev_layers24-35_lr1e-3,28,110,3.4264142513275146,0.9999875426292419,0.9998467176332386,3.3919687271118164,3.8335419930517673,0.884813244059855,0.4909090909090909
qwen3-4b-opd,singlev_layers24-35_lr1e-3,29,110,3.416626214981079,0.9999875426292419,0.9998642146040541,3.3816590309143066,3.8244421649724245,0.8842228186600619,0.4909090909090909
qwen3-4b-opd,singlev_layers24-35_lr1e-3,30,110,3.3120460510253906,0.9999861121177673,0.9998551721966594,3.277571201324463,3.7510640993714333,0.8737710458943334,0.5
qwen3-4b-opd,singlev_layers24-35_lr1e-3,31,110,3.2637369632720947,0.9999854564666748,0.9998491417377366,3.229839563369751,3.709364542737603,0.8707258416251666,0.509090909090909
qwen3-4b-opd,singlev_layers24-35_lr1e-3,32,110,3.2740697860717773,0.9999861717224121,0.9998621853119737,3.239626407623291,3.708339050412178,0.8736057743326382,0.5
qwen3-4b-opd,singlev_layers24-35_lr1e-3,33,110,3.243709087371826,0.9999842643737793,0.999855980960601,3.2098803520202637,3.7174616307020187,0.8634602508093939,0.5272727272727272
qwen3-4b-opd,singlev_layers24-35_lr1e-3,34,110,3.405604124069214,0.999984085559845,0.9998200038157472,3.3730075359344482,3.9106311462819576,0.8625225468122565,0.5454545454545454
qwen3-4b-opd,singlev_layers3-4_lr1e-3,3,28,1.23616623878479,0.9998597502708435,0.9995680318938361,1.1922390460968018,1.2443590760231018,0.9581149597969161,0.32142857142857145
qwen3-4b-opd,singlev_layers3-4_lr1e-3,4,28,1.2342655658721924,0.9998407959938049,0.9996231110007675,1.1896259784698486,1.2463454268872738,0.9544913896309781,0.35714285714285715
qwen3-4b-opd,singlev_layers3-4_lr2e-3,3,155,2.5349388122558594,0.9999885559082031,0.9997980733970543,2.4917449951171875,5.821250291541219,0.4280429238265032,0.6129032258064516
qwen3-4b-opd,singlev_layers3-4_lr2e-3,4,155,2.711427927017212,0.9999887943267822,0.9998112526032832,2.6706149578094482,5.922676834277809,0.45091350288658694,0.6193548387096774
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,12,0.5923242568969727,0.9999839663505554,0.9996351599693298,0.5425078272819519,0.543270118534565,0.9985968467128851,0.0
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,12,0.5912744402885437,0.999983549118042,0.9996389638293873,0.5414639711380005,0.5423040762543678,0.9984508596686754,0.0
qwen3-4b-opd,singlev_layers7-8_lr1e-3,7,81,2.9329628944396973,0.9999473690986633,0.9998389534652233,2.899182081222534,3.5506476536393166,0.8165220444363022,0.6666666666666666
